"region","regioncode","prefecture","commune","canton","code_canton","code","localite_name","localites","locationcode","idcentre","centres"
DAGL,R6,AGOE NYIVE,AGOE NYIVE 1,AGOE NYIVE,CNT438,L8442,KLEVE,KLEVE-RBRA,"000017183","17183",RBRA
DAGL,R6,AGOE NYIVE,AGOE NYIVE 1,AGOE NYIVE,CNT438,L8443,SOGBOSSITO,SOGBOSSITO-BIR 1,"000017184","17184",BIR 1
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1244,APEGNIGBI,APEGNIGBI-EPE AGOE-NYIVE,"000012356","12356",EPE AGOE-NYIVE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1248,DEMAKPOE,DEMAKPOE-EPE LE SEMEUR,"000012357","12357",EPE LE SEMEUR
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1245,APELEBUIME,APELEBUIME-EPL LA SOURCE,"000012358","12358",EPL LA SOURCE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1251,GNAMASSIGAN,GNAMASSIGAN-EPL LE SALUT,"000012359","12359",EPL LE SALUT
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1255,KITIDJAN,KITIDJAN-EPL KULLA,"000012360","12360",EPL KULLA
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1242,ANOME GBONVE,ANOME GBONVE-CEG AGOE-OUEST,"000012361","12361",CEG AGOE-OUEST
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1255,KITIDJAN,KITIDJAN-LYCEE SOGBOSSITO,"000012362","12362",LYCEE SOGBOSSITO
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1236,ADJOUGBA,ADJOUGBA-EPP ADJOUGBA G/A,"000012363","12363",EPP ADJOUGBA G/A
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1236,ADJOUGBA,ADJOUGBA-EPP ADJOUGBA G/B,"000012364","12364",EPP ADJOUGBA G/B
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1236,ADJOUGBA,ADJOUGBA-EPP ADJOUGBA G/C,"000012365","12365",EPP ADJOUGBA G/C
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1236,ADJOUGBA,ADJOUGBA-EPL ESPERANCE,"000012366","12366",EPL ESPERANCE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1237,ADOUIKO,ADOUIKO-EPP ADJOUGBA-SORAD/A,"000012367","12367",EPP ADJOUGBA-SORAD/A
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1237,ADOUIKO,ADOUIKO-EPP ADJOUGBA-SORADE G/B,"000012368","12368",EPP ADJOUGBA-SORADE G/B
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1237,ADOUIKO,ADOUIKO-GS LE CRACK,"000012369","12369",GS LE CRACK
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-EPL CS LA BRUYERE,"000012370","12370",EPL CS LA BRUYERE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-CPL LA BRUYERE,"000012371","12371",CPL LA BRUYERE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-LPL LA BRUYERE,"000012372","12372",LPL LA BRUYERE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-EPP AGOE MARCHE G/A,"000012373","12373",EPP AGOE MARCHE G/A
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-EPP AGOE MARCHE G/B,"000012374","12374",EPP AGOE MARCHE G/B
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-EPP AGOE MARCHE G/C,"000012375","12375",EPP AGOE MARCHE G/C
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1238,AHONGAKOPE ASSIYEYE,AHONGAKOPE ASSIYEYE-EPP AGOE MARCHE G/D,"000012376","12376",EPP AGOE MARCHE G/D
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1241,ANOKUI NOGO,ANOKUI NOGO-CEG AGOE-NYIVE CENTRE,"000012377","12377",CEG AGOE-NYIVE CENTRE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1241,ANOKUI NOGO,ANOKUI NOGO-EPL LE TRIOMPHATEUR,"000012378","12378",EPL LE TRIOMPHATEUR
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1241,ANOKUI NOGO,ANOKUI NOGO-CPL LE TRIOMPHATEUR,"000012379","12379",CPL LE TRIOMPHATEUR
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1241,ANOKUI NOGO,ANOKUI NOGO-LYCEE AGOE NYIVE,"000012380","12380",LYCEE AGOE NYIVE
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1241,ANOKUI NOGO,ANOKUI NOGO-LYCEE AGOE NYIVE EST,"000012381","12381",LYCEE AGOE NYIVE EST
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1243,ANOMEGBLE,ANOMEGBLE-EPP ANOME G/B,"000012382","12382",EPP ANOME G/B
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1243,ANOMEGBLE,ANOMEGBLE-EPP ANOME G/C,"000012383","12383",EPP ANOME G/C
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1243,ANOMEGBLE,ANOMEGBLE-EPP ANOMEI G/A,"000012384","12384",EPP ANOMEI G/A
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1245,APELEBUIME,APELEBUIME-EPL KOUVAHEY ADIDOADIN,"000012385","12385",EPL KOUVAHEY ADIDOADIN
DAGL,R6,AGOE-NYIVE,AGOE-NYIVE 1,AGOE-NYIVE,CNT144,L1247,DARA KOPE,DARA KOPE-CPL NOUVELLE ELITE II,"000012386","12386",CPL NOUVELLE ELITE II
