"code","name","hierarchy_level","hierarchy_level_name","hierarchy_path","parent_zone_code","lang_code","is_active","cr_by","cr_dtimes"
"MOR","Maroc","0","Pays","MOR","","fra","TRUE","superadmin","now()"
"NTH","Nord","1","Direction","MOR/NTH","MOR","fra","TRUE","superadmin","now()"
"RSK","Rabat-Salé-Kénitra","2","Région","MOR/NTH/RSK","NTH","fra","TRUE","superadmin","now()"
"RBT","Rabat","3","Province","MOR/NTH/RSK/RBT","RSK","fra","TRUE","superadmin","now()"
"KTA","Kénitra","3","Province","MOR/NTH/RSK/KTA","RSK","fra","TRUE","superadmin","now()"
"SAL","Sala","3","Province","MOR/NTH/RSK/SAL","RSK","fra","TRUE","superadmin","now()"
"CST","Casablanca-Settat","2","Région","MOR/NTH/CST","NTH","fra","TRUE","superadmin","now()"
"BSN","Benslimane","3","Province","MOR/NTH/CST/BSN","CST","fra","TRUE","superadmin","now()"
"CSB","Casablanca","3","Province","MOR/NTH/CST/CSB","CST","fra","TRUE","superadmin","now()"
"STT","Settat","3","Province","MOR/NTH/CST/STT","CST","fra","TRUE","superadmin","now()"
"ORT","Oriental","2","Région","MOR/NTH/ORT","NTH","fra","TRUE","superadmin","now()"
"NDR","Nador","3","Province","MOR/NTH/ORT/NDR","ORT","fra","TRUE","superadmin","now()"
"BRK","Berkane","3","Province","MOR/NTH/ORT/BRK","ORT","fra","TRUE","superadmin","now()"
"JRD","Jerada ","3","Province","MOR/NTH/ORT/JRD","ORT","fra","TRUE","superadmin","now()"
"STH","Sud","1","Direction","MOR/STH","MOR","fra","TRUE","superadmin","now()"
"MRS","Marrakesh-Safi","2","Région","MOR/STH/MRS","STH","fra","TRUE","superadmin","now()"
"SAF","Safi ","3","Province","MOR/STH/MRS/SAF","MRS","fra","TRUE","superadmin","now()"
"YSF","Youssoufia ","3","Province","MOR/STH/MRS/YSF","MRS","fra","TRUE","superadmin","now()"
"SOS","Sus-Massa","2","Région","MOR/STH/SOS","STH","fra","TRUE","superadmin","now()"
"TTA","Tata ","3","Province","MOR/STH/SOS/TTA","SOS","fra","TRUE","superadmin","now()"
"TZT","Tiznit","3","Province","MOR/STH/SOS/TZT","SOS","fra","TRUE","superadmin","now()"
